Train_No,Journey_Duration_Hours,Total_Distance,Number_of_Stops
12547,15.416666666666666,866,12
12548,15.416666666666666,864,12
12549,9.166666666666666,1847,18
12550,9.333333333333334,1858,18
12551,5.5,3024,29
12552,4.416666666666667,3024,29
12553,21.25,1167,21
12554,21.416666666666668,1170,21
12555,17.416666666666668,952,15
12556,17.416666666666668,953,15
12557,19.25,1057,16
12558,19.583333333333332,1059,16
12559,12.5,745,4
12560,12.083333333333334,745,4
12561,22.5,1223,22
12562,22.583333333333332,1224,21
12565,20.916666666666668,1153,11
12566,21.0,1156,11
12567,4.0,219,9
12568,4.0,219,9
12569,20.333333333333332,1238,23
12570,20.666666666666668,1238,23
12572,13.333333333333334,829,9
12577,7.5,3045,41
12578,7.083333333333333,3051,40
12581,13.833333333333334,745,6
12582,12.583333333333334,745,6
12587,22.25,1246,18
12588,21.75,1247,18
12589,8.583333333333334,1833,31
12590,8.0,1836,31
12591,21.75,2513,40
12592,21.75,2504,40
12593,10.833333333333334,581,6
12594,11.0,581,6
12595,12.833333333333334,760,6
12596,11.833333333333334,761,6
12597,3.75,1693,13
12598,4.25,1694,13
12601,16.083333333333332,883,31
12602,16.25,885,33
12603,13.0,715,22
12604,13.083333333333334,716,21
12605,7.25,425,13
12606,7.083333333333333,425,13
12607,6.0,360,12
12608,5.75,361,13
12609,6.5,360,19
12610,6.5,361,19
12611,4.25,2156,11
12612,4.333333333333333,2155,11
12613,2.5,138,4
12614,2.5,138,4
12615,11.916666666666666,2169,41
12616,12.5,2168,40
12617,0.0,2751,48
12618,1.0,2748,48
12619,16.166666666666668,893,24
